id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
1,2024-01-01 09:00,5,1,04:57:31,04:57:33
12,2024-01-01 09:00,5,2,04:57:31,04:57:33
15,2024-01-01 08:00,5,3,04:57:31,04:57:34
19,2024-01-01 08:40,5,1,04:57:33,04:57:35
26,2024-01-03 10:00,5,2,04:57:33,04:57:36
27,2024-01-01 10:00,5,3,04:57:34,04:57:37
30,2024-01-01 09:00,5,1,04:57:35,04:57:38
37,2024-01-01 10:00,5,2,04:57:36,04:57:38
4,2024-01-01 10:00,4,3,04:57:37,04:57:40
13,2024-01-01 08:40,4,1,04:57:38,04:57:40
22,2024-01-01 09:00,4,2,04:57:38,04:57:41
28,2024-01-01 09:00,4,3,04:57:40,04:57:42
29,2024-01-01 08:40,4,1,04:57:40,04:57:42
38,2024-01-01 09:00,4,2,04:57:41,04:57:43
3,2024-01-02 08:40,3,3,04:57:42,04:57:44
5,2024-01-01 08:00,3,1,04:57:42,04:57:45
10,2024-01-01 09:00,3,2,04:57:43,04:57:46
14,2024-01-01 10:00,3,3,04:57:44,04:57:47
17,2024-01-01 10:00,3,1,04:57:45,04:57:47
21,2024-01-01 09:00,3,2,04:57:46,04:57:48
36,2024-01-01 10:00,3,1,04:57:47,04:57:50
31,2024-01-01 09:00,3,3,04:57:47,04:57:50
40,2024-01-01 09:00,3,2,04:57:48,04:57:51
6,2024-01-01 10:00,2,1,04:57:50,04:57:52
8,2024-01-01 09:00,2,3,04:57:50,04:57:52
16,2024-01-01 10:00,2,2,04:57:51,04:57:53
20,2024-01-01 09:00,2,1,04:57:52,04:57:55
25,2024-01-01 08:00,2,3,04:57:52,04:57:55
32,2024-01-01 09:00,2,2,04:57:53,04:57:56
2,2024-01-01 09:00,1,3,04:57:55,04:57:57
34,2024-01-01 10:00,2,1,04:57:55,04:57:58
7,2024-01-01 10:00,1,2,04:57:56,04:57:59
11,2024-01-02 09:00,1,1,04:57:58,04:58:00
9,2024-01-01 08:40,1,3,04:57:57,04:58:00
18,2024-01-01 09:00,1,2,04:57:59,04:58:01
24,2024-01-01 10:00,1,3,04:58:00,04:58:02
23,2024-01-01 08:40,1,1,04:58:00,04:58:02
33,2024-01-01 08:40,1,2,04:58:01,04:58:03
35,2024-01-01 08:00,1,3,04:58:02,04:58:04
39,2024-01-02 08:40,1,1,04:58:02,04:58:05
