id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion
1,2024-01-01 09:00,5,1,23:52:54,23:52:56
30,2024-01-01 09:00,5,7,23:52:54,23:52:56
12,2024-01-01 09:00,5,2,23:52:54,23:52:56
15,2024-01-01 08:00,5,3,23:52:54,23:52:56
27,2024-01-01 10:00,5,6,23:52:54,23:52:56
26,2024-01-03 10:00,5,5,23:52:54,23:52:56
19,2024-01-01 08:40,5,4,23:52:54,23:52:56
4,2024-01-01 10:00,4,7,23:52:56,23:52:58
28,2024-01-01 09:00,4,6,23:52:56,23:52:58
22,2024-01-01 09:00,4,3,23:52:56,23:52:58
13,2024-01-01 08:40,4,2,23:52:56,23:52:58
37,2024-01-01 10:00,5,1,23:52:56,23:52:58
29,2024-01-01 08:40,4,5,23:52:56,23:52:59
38,2024-01-01 09:00,4,4,23:52:56,23:52:59
3,2024-01-02 08:40,3,7,23:52:58,23:53:00
5,2024-01-01 08:00,3,6,23:52:58,23:53:01
10,2024-01-01 09:00,3,3,23:52:58,23:53:01
14,2024-01-01 10:00,3,2,23:52:58,23:53:01
17,2024-01-01 10:00,3,1,23:52:58,23:53:01
21,2024-01-01 09:00,3,5,23:52:59,23:53:02
31,2024-01-01 09:00,3,4,23:52:59,23:53:01
36,2024-01-01 10:00,3,7,23:53:00,23:53:03
40,2024-01-01 09:00,3,6,23:53:01,23:53:03
8,2024-01-01 09:00,2,2,23:53:01,23:53:03
6,2024-01-01 10:00,2,3,23:53:01,23:53:03
16,2024-01-01 10:00,2,1,23:53:01,23:53:04
25,2024-01-01 08:00,2,4,23:53:02,23:53:04
20,2024-01-01 09:00,2,5,23:53:02,23:53:05
32,2024-01-01 09:00,2,7,23:53:03,23:53:05
34,2024-01-01 10:00,2,6,23:53:03,23:53:05
2,2024-01-01 09:00,1,2,23:53:03,23:53:05
9,2024-01-01 08:40,1,1,23:53:04,23:53:06
7,2024-01-01 10:00,1,3,23:53:03,23:53:06
11,2024-01-02 09:00,1,4,23:53:04,23:53:07
23,2024-01-01 08:40,1,7,23:53:05,23:53:07
18,2024-01-01 09:00,1,5,23:53:05,23:53:08
24,2024-01-01 10:00,1,6,23:53:05,23:53:08
33,2024-01-01 08:40,1,2,23:53:05,23:53:08
39,2024-01-02 08:40,1,3,23:53:06,23:53:09
35,2024-01-01 08:00,1,1,23:53:06,23:53:09
